vd	30	m	527	32768	6501735689931172706	6501735689931175690	100139743450887786980537	100139743450887787322379
ad	30	a	263	16384	-90987920906504945410	-90987920906504944007
ad	30	b	33	2048	-90987524512090700527	-90987524512090699113
vd	31	a	33	2048	9535915175170960018	9535915175170963017	98701315402792275011777	98701315402792275354154
vd	31	m	133	8192	21215315227805722703	21215315227805725702	92552111851662830918962	92552111851662831263311
vd	31	q1	265	16384	15469472170472893155	15469472170472896160	95703111880181223206627	95703111880181223550014
vd	31	q3	267	16384	26764450174947145006	26764450174947148019	89259202140713337613003	89259202140713337958258
ad	31	a	33	2048	-90987524512090700527	-90987524512090699113
ad	31	m	133	8192	-90985639968287221208	-90985639968287219797
ad	31	m	133	8192	-90985639968287221208	-90985639968287219797
ad	31	b	67	4096	-90982376995400210816	-90982376995400209397
vd	32	a	67	4096	32108549782626860052	32108549782626863068	85835346146851729908387	85835346146851730254493
vd	32	m	135	8192	42151690751430702330	42151690751430705354	78638882901849378626569	78638882901849378974201
ad	32	a	67	4096	-90982376995400210816	-90982376995400209397
ad	32	b	17	1024	-90972122823694242852	-90972122823694241431
vd	33	a	17	1024	51291570301572536837	51291570301572539868	71051023289501221536423	71051023289501221885383
vd	33	m	69	4096	66702618753374608679	66702618753374611719	55051905116352040538626	55051905116352040889528
vd	33	q1	137	8192	59485786891998577842	59485786891998580872	63159734602945546821489	63159734602945547171546
vd	33	q3	139	8192	72920848209896898013	72920848209896901060	46812629271316906663373	46812629271316907014948
ad	33	a	17	1024	-90972122823694242852	-90972122823694241431
ad	33	m	69	4096	-90957639710651103246	-90957639710651101804
ad	33	m	69	4096	-90957639710651103246	-90957639710651101804
ad	33	b	35	2048	-90939877862422298759	-90939877862422297321
vd	34	a	35	2048	78129500838406117413	78129500838406120464	38524527956327400140854	38524527956327400492843
vd	34	m	71	4096	85523270008456200591	85523270008456203646	22116167561002660813654	22116167561002661165919
ad	34	a	35	2048	-90939877862422298759	-90939877862422297321
ad	34	b	9	512	-90898438714086358366	-90898438714086356941
vd	35	a	9	512	88986178294162651400	88986178294162654512	6415118126786727888385	6415118126786728277405
vd	35	m	37	2048	85181727525303423581	85181727525303426774	-20903498595022118782699	-20903498595022118355794
vd	35	q1	73	4096	88755172475017452143	88755172475017455296	-8066001721129211366973	-8066001721129210958881
